"1993","1995","1996","1998","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","NA"
1,0,1,0,2,0,0,0,0,0,0,0,2,19,1,0,2,1,0,2,0,0,5,0,0,5,0,1,0,0
0,1,0,0,0,0,0,11,5,4,1,23,3,16,1,6,0,0,0,4,5,9,0,39,4,0,15,151,0,3
0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,3,1,2,1,2,0,0,0,0
0,0,0,0,2,0,6,1,3,0,16,0,150,1,0,1,0,3,1,16,7,1,33,2,0,6,64,0,0,1
0,0,0,0,1,0,18,0,2,0,0,0,0,1,23,0,3,2,3,4,20,4,0,0,4,11,21,0,3,0
0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,1,5,1,5,0,0,6,0,33,2,5,1,0,0,2
0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,19,0,0,3,0,0,0,0,0,4,11,0,0,0,0
0,0,0,0,0,0,1,0,0,0,71,0,0,0,0,2,1,0,61,0,0,0,6,12,3,2,5,13,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,2,25,6,0,0,0,2,27,21,0,0,4,2,0,6,4,0,2,0,0
0,0,0,0,0,0,0,27,14,4,10,36,4,28,38,45,70,30,16,5,0,73,43,17,36,50,30,1,0,0
0,0,0,0,0,0,0,3,6,0,0,4,12,14,0,0,0,0,0,10,5,0,0,7,8,0,2,0,0,8
0,0,0,0,0,0,0,1,0,4,1,5,0,0,0,3,0,4,1,4,0,9,2,1,2,4,0,0,6,0
0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,23,0,17,12,0,9,6,11,0,7,5,1,12,0,0
0,0,0,0,0,0,0,0,0,0,5,0,0,4,2,12,1,9,2,0,1,6,6,0,4,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,67,0,5,2,78,9,4,1,0,29,0,1,3,45,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,7,0,0,0,6,6,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23,0,14,64,17,6,2,16,2,23,10,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
